network,station,latitude,longitude,elevation
E,MNMM,35.64836,140.13111,7
E,MOKM,35.65219,140.37986,27
E,SNSM,35.68458,140.38681,26
E,MD1M,35.71956,140.44397,5
E,TACM,35.74467,140.47161,8
E,TKWM,35.76961,140.51761,2
E,YMKM,35.78367,140.53569,22
E,YT2M,35.80981,140.56311,15
E,OMNM,35.84189,140.56561,-13
E,OMKM,35.87469,140.58492,-14
E,KKHM,35.89289,139.99017,-6
E,NDOM,35.88239,140.00544,-7
E,ABHM,35.86403,140.02472,-12
E,TGNM,35.84156,140.04511,0
E,SR2M,35.81858,140.04656,6
E,SSPM,35.82147,140.08425,7
E,SYPM,35.77247,140.10236,-1
E,YMMM,35.75256,140.11764,3
E,INOM,35.73114,140.14550,8
E,SSDM,35.70925,140.15931,7
E,YGHM,35.69139,140.18289,11
E,MSRM,35.66922,140.19825,8
E,YSOM,35.63481,140.19542,8
E,SSNM,35.62006,140.22775,5
E,SRIM,35.58133,140.23150,29
E,NOBM,35.59847,140.27781,34
E,TOCM,35.54000,140.25497,66
E,OACM,35.53122,140.31781,2
E,MHKM,35.51706,140.34264,-14
E,FKOM,35.51375,140.37858,-13
